opd_date;vehicle_id;event_no;meters;act_dep_time;nom_dep_time;nom_end_time;act_end_time;line_id;trip_id;pattern_id;pattern_direction;trip_type;pattern_quality;block_id;passenger_data;time_grp_id;is_additional_trip
05/01/2017;1000110;1732500052;2129;26247;25800;26400;26247;130;2788683;592;;2;50;2736265;;2340134;0
05/01/2017;1000110;1732500054;2129;26426;26400;28500;28192;130;2742168;2313170;Inbound;0;100;2736265;;2313395;0
05/01/2017;1000110;1732500102;12307;29100;28500;28500;29114;130;2788684;593;;3;100;2736265;;2340136;0
05/01/2017;1000110;1732500105;12424;29114;29100;30900;30656;130;2742170;2313169;Outbound;0;100;2736265;;2313369;0
05/01/2017;1000110;1732500152;22735;30666;30900;31500;30966;130;2788685;594;;3;100;2736265;;2367136;0
05/01/2017;1000110;1732500155;22775;31495;31500;33480;33317;130;2742172;2313170;Inbound;0;100;2736265;;2313404;0
05/01/2017;1000110;1732500206;32968;33318;33480;33480;33331;130;2788686;593;;3;100;2736265;;2339322;0
05/01/2017;1000110;1732500209;32973;34517;34500;36300;36004;130;2742174;2313169;Outbound;0;100;2736265;;2313355;0
05/01/2017;1000110;1732500259;43366;36013;36300;36300;36900;130;2788688;594;;3;100;2736265;;2788687;0
05/01/2017;1000110;1732500262;43438;36930;36900;38760;38327;130;2742176;2313170;Inbound;0;100;2736265;;2313383;0
05/01/2017;1000110;1732500311;53582;39305;38760;38760;39319;130;2788689;593;;3;100;2736265;;2339326;0
05/01/2017;1000110;1732500314;53698;39319;39300;40980;40763;130;2742178;2313169;Outbound;0;100;2736265;;2313370;0
05/01/2017;1000110;1732500358;63815;40763;40980;40980;41530;130;2788691;594;;3;100;2736265;;2788690;0
05/01/2017;1000110;1732500361;64061;41708;41700;43560;43359;130;2742180;2313170;Inbound;0;100;2736265;;2313383;0
05/01/2017;1000110;1732500413;74199;44099;43560;43560;44173;130;2788692;593;;3;100;2736265;;2339326;0
05/01/2017;1000110;1732500417;74327;44173;44100;45900;45886;130;2742182;2313169;Outbound;0;100;2736265;;2313364;0
05/01/2017;1000110;1732500467;84604;45898;46020;46020;46528;130;2788694;594;;3;100;2736265;;2788693;0
05/01/2017;1000110;1732500470;84661;46572;46500;48360;48207;130;2742184;2313170;Inbound;0;100;2736265;;2313380;0
05/01/2017;1000110;1732500519;94834;48899;48360;48360;48913;130;2788695;593;;3;100;2736265;;2339329;0
05/01/2017;1000110;1732500522;94926;48913;48900;50700;50503;130;2742186;2313169;Outbound;0;100;2736265;;2313364;0
05/01/2017;1000110;1732500567;105235;50521;51120;51120;51270;130;2788696;594;;3;100;2736265;;2788693;0
05/01/2017;1000110;1732500571;105317;51287;51300;53160;53036;130;2742188;2313170;Inbound;0;100;2736265;;2313380;0
05/01/2017;1000110;1732500617;115476;53700;53160;53160;53713;130;2788697;593;;3;100;2736265;;2339329;0
05/01/2017;1000110;1732500620;115594;53713;53700;55620;55282;130;2742190;2313169;Outbound;0;100;2736265;;2313361;0
05/01/2017;1000110;1732500668;125893;55294;55620;55620;56049;130;2788699;594;;3;100;2736265;;2788698;0
05/01/2017;1000110;1732500672;125960;56095;56100;58020;58067;130;2742192;2313170;Inbound;0;100;2736265;;2313393;0
05/01/2017;1000110;1732500725;136113;58302;58080;58080;58303;130;2788700;593;;3;100;2736265;;2339335;0
05/01/2017;1000110;1732500728;136137;58505;58500;60420;60641;130;2742194;2313169;Outbound;0;100;2736265;;2313361;0
05/01/2017;1000110;1732500776;146549;60656;60420;60420;60761;130;2788701;594;;3;100;2736265;;2788698;0
05/01/2017;1000110;1732500779;146593;61486;61500;63420;63579;130;2742196;2313170;Inbound;0;100;2736265;;2313401;0
05/01/2017;1000110;1732500833;156787;63692;63420;63420;63692;130;2788702;593;;3;100;2736265;;2340152;0
05/01/2017;1000110;1732500836;156802;63982;63900;65880;66712;130;2742198;2313169;Outbound;0;97;2736265;;2313360;0
05/01/2017;1000110;1732500887;167287;67073;66900;68760;68773;130;2742200;2313170;Inbound;0;100;2736265;;2313382;0
05/01/2017;1000110;1732500938;177468;69371;68760;68760;69523;130;2788704;593;;3;100;2736265;;2339342;0
