vehicle_id;vehicle_code;short_name;valid_from;valid_until
1000110;AV416;33416;01/01/1970;01/01/2036
1000111;AV418;33418;01/01/1970;01/01/2036
1000113;AV420;33420;01/01/1970;01/01/2036
1000115;AV422;33422;01/01/1970;01/01/2036
1000116;AV424;33424;01/01/1970;01/01/2036
1000117;AV426;33426;01/01/1970;01/01/2036
1000118;AV428;33428;01/01/1970;01/01/2036
1000120;AV430;33430;01/01/1970;01/01/2036
1000122;AV432;33432;01/01/1970;01/01/2036
1000124;AV434;33434;01/01/1970;01/01/2036
1000126;AV436;33436;01/01/1970;01/01/2036
1000128;AV438;33438;01/01/1970;01/01/2036
1000130;AV440;33440;01/01/1970;01/01/2036
1000132;AV442;33442;01/01/1970;01/01/2036
1000134;AV444;33444;01/01/1970;01/01/2036
1000135;AV446;33446;01/01/1970;01/01/2036
1000136;AV448;33448;01/01/1970;01/01/2036
1000138;AX450;33450;01/01/1970;01/01/2036
1000140;AX452;33452;01/01/1970;01/01/2036
1000142;AX454;33454;01/01/1970;01/01/2036
1000144;AX456;33456;01/01/1970;01/01/2036
1000146;AX458;33458;01/01/1970;01/01/2036
1000148;AX460;33460;01/01/1970;01/01/2036
1000150;AX462;33462;01/01/1970;01/01/2036
1000152;AX464;33464;01/01/1970;01/01/2036
1000154;AX466;33466;01/01/1970;01/01/2036
1000156;AX468;33468;01/01/1970;01/01/2036
1000158;AX470;33470;01/01/1970;01/01/2036
1000160;AX472;33472;01/01/1970;01/01/2036
1000162;AX474;33474;01/01/1970;01/01/2036
1000164;AX476;33476;01/01/1970;01/01/2036
1000166;AX478;33478;01/01/1970;01/01/2036
1000168;AX480;33480;01/01/1970;01/01/2036
1000170;VG2;40002;01/01/1970;01/01/2036
1000171;AX482;33482;01/01/1970;01/01/2036
1000173;VG4;40004;01/01/1970;01/01/2036
1000174;AX484;33484;01/01/1970;01/01/2036
1000176;VG6;40006;01/01/1970;01/01/2036
1000177;AX486;33486;01/01/1970;01/01/2036
1000180;VG8;40008;01/01/1970;01/01/2036
1000181;AX488;33488;01/01/1970;01/01/2036
1000183;VG10;40010;01/01/1970;01/01/2036
1000184;AX490;33490;01/01/1970;01/01/2036
1000186;VG12;40012;01/01/1970;01/01/2036
1000187;AX492;33492;01/01/1970;01/01/2036
1000189;VG14;40014;01/01/1970;01/01/2036
1000190;AX494;33494;01/01/1970;01/01/2036
1000193;AX496;33496;01/01/1970;01/01/2036
1000195;VG18;40018;01/01/1970;01/01/2036
1000198;VG20;40020;01/01/1970;01/01/2036
1000201;VG22;40022;01/01/1970;01/01/2036
1000202;AX502;33502;01/01/1970;01/01/2036
