trip_id;schedule_id;block_id;line_id;pattern_id;sched_start_time;trip_type;daytype_id;short_name
2617667;12900;1712165;4;1885248;42300;0;34;5881
2421981;12900;1712142;145;2408083;64800;0;34;4696
2421984;12900;1712142;145;2408086;81600;0;34;4699
2343697;12900;2336588;142;2336591;46800;0;34;3391
2343700;12900;2336588;142;2336590;48600;0;34;3392
2343701;12900;2336588;142;2336591;50400;0;34;3393
2343704;12900;2336588;142;2336591;54000;0;34;3395
2802774;12900;2336588;142;335;59400;4;34;3167
2802780;12900;1712144;1551443;535;68400;4;34;5229
2765354;12900;1712221;1260309;2080154;46560;0;34;6020
2793178;12900;1885215;1;196;86400;4;34;1725
2793291;12900;1710774;40;158;32700;4;34;2148
2793294;12900;1710774;40;91;52200;4;34;984
2802707;12900;2736268;130;592;24000;2;34;6061
2743405;12900;2736268;130;2313170;24600;0;34;7026
2242163;12900;1711849;1712588;2237087;28800;0;34;2803
1951128;12900;1711762;40;1949079;22200;0;34;2301
2794660;12900;1711762;40;225;28620;3;34;2063
2794663;12900;1711762;40;230;46320;2;34;2113
2794664;12900;1711762;40;225;53400;3;34;2114
2024656;12900;1711818;83;2020794;28800;0;34;2412
1731470;12900;1711670;67;1312660;25200;0;34;1035
2795602;12900;1711670;26;103;63900;4;34;1019
2795617;12900;1711672;14;511;74700;4;34;5072
2795477;12900;1711666;185;211;35700;3;34;1901
1727881;12900;1711851;41;1065177;22200;0;34;11
1727887;12900;1711851;41;1003967;39900;0;34;15
2795903;12900;1711680;1468594;326;36780;3;34;3076
2756907;12900;1711818;83;2020788;69600;0;34;2419
1856039;12900;1711819;76;1852103;34200;0;34;1575
2794448;12900;1711819;76;180;49620;3;34;1463
2794455;12900;1711819;76;181;68400;4;34;1482
1856061;12900;1711819;76;1852103;73800;0;34;1635
2794459;12900;1711819;76;180;83880;3;34;1500
2795509;12900;1711724;40;225;49320;3;34;1995
1951760;12900;1711724;40;1949077;49320;0;34;2246
2795513;12900;1711724;40;228;70200;4;34;1998
2757321;12900;1711725;1260309;2080147;49680;0;34;5910
2796059;12900;1711682;140;341;82020;3;34;3279
2798063;12900;1711432;13;161;72000;3;34;1282
2798001;12900;1711485;140;341;66780;3;34;3258
1870254;12900;1711486;76;1852103;46800;0;34;1597
2798004;12900;1711486;76;180;53220;3;34;1466
2331769;12900;2042496;31;1030755;37800;0;34;6628
2798128;12900;1711532;1468596;98;56400;3;34;840
2796601;12900;1874139;27;99;53340;4;34;4463
2796604;12900;1874139;27;97;66540;3;34;4484
2415174;12900;2408030;25;2408097;66120;0;34;4435
2796612;12900;2408030;25;389;69300;3;34;4115
2798131;12900;1711532;1468596;97;69720;3;34;843
2798137;12900;1711532;1468596;99;88740;4;34;847
2796680;12900;1711446;67;297;56460;3;34;2699
2799068;12900;1874131;27;434;21600;2;34;4864
2760765;12900;1712029;123;1909310;37200;0;34;1730
2799433;12900;1712029;123;186;54000;3;34;1590
2760779;12900;1712029;123;1909312;68400;0;34;1737
1742173;12900;1711908;150;1376328;25200;0;34;2544
2799226;12900;1711908;150;246;34800;4;34;2281
2048995;12900;1711908;150;1376327;77400;0;34;2587
2048998;12900;1711908;150;1376328;80400;0;34;2588
1739252;12900;1712034;49;1675459;24900;0;34;1136
2371776;12900;1711891;270;2363907;32400;0;34;5672
2486375;12900;1711891;270;2363906;57600;0;34;5673
2798550;12900;1711945;27;434;54000;2;34;4541
1740990;12900;1711948;33;1065164;63000;0;34;5361
1737784;12900;1712078;26;1489392;24900;0;34;2935
2291984;12900;1712078;26;2281415;61200;0;34;3047
1894239;12900;1711909;16;1885240;28800;0;34;2171
2799167;12900;1711966;123;190;76200;4;34;1566
2791860;12900;1710858;59;646;27660;3;34;6462
2791864;12900;1710858;59;2786750;30000;0;34;7472
2791867;12900;1710858;59;2786751;31800;0;34;7473
2792023;12900;1710858;59;448;58200;3;34;6479
2792026;12900;1710858;59;646;60060;3;34;6480
2792027;12900;1710858;59;2786751;60600;0;34;7489
2764324;12900;1712515;9;1839470;30600;0;34;1499
2764337;12900;2431191;27;1874146;24000;0;34;5025
2764338;12900;2431191;27;2431204;30600;0;34;5026
2794130;12900;1712517;16;202;67320;3;34;1864
2428144;12900;1710794;39;1691010;57720;0;34;4039
2296394;12900;1710799;26;2281415;35400;0;34;2970
2794073;12900;1710799;26;309;65100;3;34;2861
2793961;12900;1710854;26;126;39600;4;34;1031
1733031;12900;1710856;17;1312563;39600;0;34;350
1733044;12900;1710856;17;1312563;63600;0;34;374
2428981;12900;1712514;140;2408079;33000;0;34;3470
2791163;12900;1710952;15;348;34440;3;34;3312
2791165;12900;1710952;15;350;41700;4;34;3313
2790513;12900;1711057;79;143;29580;3;34;1150
2790516;12900;1711057;79;147;42900;2;34;1187
1716771;12900;1711057;79;1691017;43800;0;34;1252
2787775;12900;1712413;39;373;32340;3;34;3798
2787780;12900;1712413;39;373;73140;3;34;3801
2426546;12900;1712413;39;2408102;73200;0;34;4069
2787783;12900;1712413;39;377;86100;4;34;3803
2790758;12900;1710974;63;2786753;77400;0;34;7268
2343103;12900;1885221;44;2336594;59400;0;34;5451
2791182;12900;1710955;26;309;25080;3;34;2752
2289513;12900;1710955;26;2281413;30900;0;34;2933
2791190;12900;1710955;26;309;60900;3;34;2914
1716782;12900;1711057;79;1691020;59400;0;34;1257
2583797;12900;1711059;13;1712596;58140;0;34;1403
2760156;12900;1710980;15;2408088;37200;0;34;3666
2790798;12900;1710980;15;358;54780;3;34;3396
2689600;12900;1711613;75;46;23100;2;34;488
2689604;12900;1711613;75;62;74400;3;34;476
2791712;12900;1711614;25;389;59700;3;34;4035
2757761;12900;1909299;123;1909312;27000;0;34;1682
2757763;12900;1909299;123;1909310;31200;0;34;1683
2057729;12900;2042467;150;1376327;29400;0;34;2548
2057737;12900;2042467;150;1376327;41400;0;34;2552
2790133;12900;2042467;150;245;82920;3;34;2299
2801717;12900;2786736;7;638;88200;4;34;6456
1750868;12900;1711361;41;1065177;25200;0;34;106
1750872;12900;1711361;41;1003963;37800;0;34;109
2757867;12900;1909299;123;1909312;63000;0;34;1839
2411011;12900;2260949;11;1312508;42900;0;34;4557
2411012;12900;2260949;11;1312506;48600;0;34;4558
2411014;12900;2260949;11;1312506;59400;0;34;4560
2798268;12900;1712132;63;2786757;67500;0;34;7302
1739925;12900;1712041;102;1118460;83700;0;34;264
2750685;12900;1711562;15;1030725;28380;0;34;3626
2332950;12900;2042492;42;2313192;23700;0;34;6122
2414061;12900;1711478;25;2408096;77400;0;34;4360
2803775;12900;2513037;14;505;48000;3;34;4995
2766288;12900;1874133;27;1468610;57600;0;34;4863
2801365;12900;1711169;1005939;323;29400;3;34;2945
2576152;12900;1711648;37;2151597;27600;0;34;2698
2801396;12900;1711237;122;69;27300;2;34;528
2421724;12900;1712186;140;2408077;60300;0;34;3531
2760120;12900;1711084;11;1312506;34200;0;34;4599
2753143;12900;1711213;15;1030726;53400;0;34;3555
2800882;12900;1711215;25;302;29400;2;34;4129
2424263;12900;1711215;25;2408098;43320;0;34;4451
2800889;12900;1711215;25;381;58920;3;34;4136
2800890;12900;1711215;25;389;62100;3;34;4137
2800913;12900;1711272;26;122;58500;2;34;1023
1719382;12900;1711273;17;1312563;32400;0;34;341
2800272;12900;1885228;16;204;44400;4;34;1852
2800274;12900;1711254;39;375;25320;3;34;3721
2800279;12900;1711254;39;373;58380;3;34;3726
1905256;12900;1711145;16;1885243;32400;0;34;1991
2668674;12900;1711146;31;2313183;30300;0;34;6548
2788524;12900;1711146;31;570;65400;3;34;5708
2801160;12900;1711227;39;260;26520;2;34;3786
2422246;12900;1711227;39;1691011;28320;0;34;4052
2801161;12900;1711227;39;375;32580;3;34;3787
2801167;12900;1711227;39;374;70500;4;34;3830
2801296;12900;1711281;1330001;449;28620;3;34;4655
2801947;12900;2431181;27;436;65580;3;34;4597
1753746;12900;1712532;41;1003963;21600;0;34;1643
2787513;12900;2408046;145;400;80400;4;34;5404
2695490;12900;1710874;38;2151601;21600;0;34;6700
2695492;12900;1710874;38;1247340;25800;0;34;6701
2695493;12900;1710874;38;1211801;31560;0;34;6702
2787548;12900;1710874;38;375;36300;3;34;5840
2793836;12900;1712510;15;360;24300;2;34;3495
2792001;12900;1710807;15;358;41640;3;34;3633
2792002;12900;1710807;15;361;46320;3;34;3634
2792003;12900;1710807;15;358;51180;3;34;3635
2762517;12900;1710807;15;2408088;52800;0;34;3909
2792035;12900;1710858;59;448;65400;3;34;6483
2792039;12900;1710858;59;2786751;67800;0;34;7493
2751539;12900;1710876;123;1909310;42000;0;34;1742
2787532;12900;1710876;123;187;45540;3;34;1600
2751547;12900;1710876;123;1909310;59400;0;34;1746
1719091;12900;1712565;1005939;1118481;77400;0;34;6889
2142792;12900;1710790;1014394;1909318;25200;0;34;2609
1732380;12900;1710848;102;1118459;58500;0;34;223
2670530;12900;1710848;102;26;73200;4;34;190
1756019;12900;1712502;41;1003967;41400;0;34;40
2792058;12900;1710858;59;2786751;82200;0;34;7501
2792060;12900;1710858;59;2786750;84000;0;34;7502
2803935;12900;2591529;151;529;26340;3;34;5148
2802238;12900;1712301;1260309;469;26700;2;34;4763
2802353;12900;1988422;145;385;26700;2;34;3999
2802355;12900;1988422;145;386;38100;4;34;4000
2802173;12900;2591529;151;530;87000;4;34;5161
2802179;12900;2042517;31;569;50040;3;34;5824
2673565;12900;2042517;31;1030755;73500;0;34;6690
2466823;12900;1712138;1136253;31;48000;2;34;223
1743789;12900;1712138;1136253;1136261;50400;0;34;292
1743792;12900;1712138;1136253;1136259;55800;0;34;295
1750437;12900;1711298;13;1712590;39300;0;34;1292
2801676;12900;1711298;13;153;52560;3;34;1221
2801790;12900;1711298;13;154;75600;4;34;1223
2801792;12900;1711299;26;123;27600;3;34;1021
1750450;12900;1711299;26;1489399;28500;0;34;1028
2666592;12900;1712283;41;19;37500;4;34;159
1746654;12900;1712283;41;1003969;62400;0;34;199
2169535;12900;2169523;1014394;1909318;37200;0;34;2718
2787711;12900;2169523;1014394;253;41220;3;34;2515
2787751;12900;1712411;1014394;256;23700;2;34;2352
2147226;12900;1712411;1014394;1909316;25200;0;34;2606
2791167;12900;1710952;15;347;58500;2;34;3352
2790511;12900;1711057;79;144;25200;3;34;1149
1716774;12900;1711057;79;1691018;46500;0;34;1253
2147249;12900;1712411;1014394;1909318;65100;0;34;2664
2787760;12900;1712411;1014394;255;70500;4;34;2442
2426537;12900;1712413;39;2408102;34200;0;34;4063
2790746;12900;1710974;63;2786757;36900;0;34;7258
2791179;12900;1885221;44;491;23400;2;34;4893
2791184;12900;1710955;26;123;29400;3;34;2753
1737023;12900;1710955;26;1489390;52200;0;34;3117
2790541;12900;1711059;13;161;34020;3;34;1308
2801326;12900;1711347;9;169;69360;3;34;1391
2687495;12900;1711348;18;51;47700;4;34;398
2081664;12900;1711594;145;2080120;25800;0;34;4681
2757344;12900;1711597;123;1909310;26400;0;34;1774
2791598;12900;1711597;123;187;30000;3;34;1635
2791601;12900;1711597;123;186;42480;3;34;1638
2791602;12900;1711597;123;187;46740;3;34;1639
2789746;12900;1712481;120;79;61200;3;34;751
2472793;12900;1711350;102;30;21600;2;34;215
2699658;12900;1711596;38;1353067;60600;0;34;6739
2791592;12900;1711596;38;375;71940;3;34;5865
