opd_date;act_time;vehicle_short_name;device_type;defect_type
11/01/2017;26511;33416;External EEPROM (COPILOTpc);OK
11/01/2017;26512;33416;Internal EEPROM (COPILOTpc);OK
11/01/2017;26712;33416;TicketMachine;OK
11/01/2017;55412;33416;External EEPROM (COPILOTpc);OK
11/01/2017;55413;33416;Internal EEPROM (COPILOTpc);OK
11/01/2017;56800;33416;TicketMachine;OK
11/01/2017;82467;33416;External EEPROM (COPILOTpc);OK
11/01/2017;82468;33416;Internal EEPROM (COPILOTpc);OK
11/01/2017;96748;33416;Internal EEPROM (COPILOTpc);OK
11/01/2017;96748;33416;External EEPROM (COPILOTpc);OK
11/01/2017;33997;33418;External EEPROM (COPILOTpc);OK
11/01/2017;33998;33418;Internal EEPROM (COPILOTpc);OK
11/01/2017;39697;33418;Internal EEPROM (COPILOTpc);OK
11/01/2017;39697;33418;External EEPROM (COPILOTpc);OK
11/01/2017;24134;33420;Internal EEPROM (COPILOTpc);OK
11/01/2017;24134;33420;External EEPROM (COPILOTpc);OK
11/01/2017;24956;33420;TicketMachine;OK
11/01/2017;28016;33420;tsp-emitter;OK
11/01/2017;82089;33420;Internal EEPROM (COPILOTpc);OK
11/01/2017;82089;33420;External EEPROM (COPILOTpc);OK
11/01/2017;97135;33420;Internal EEPROM (COPILOTpc);OK
11/01/2017;97135;33420;External EEPROM (COPILOTpc);OK
11/01/2017;21031;33422;Internal EEPROM (COPILOTpc);OK
11/01/2017;21031;33422;External EEPROM (COPILOTpc);OK
11/01/2017;22551;33422;TicketMachine;OK
11/01/2017;25797;33422;tsp-emitter;OK
11/01/2017;76294;33422;External EEPROM (COPILOTpc);OK
11/01/2017;76295;33422;Internal EEPROM (COPILOTpc);OK
11/01/2017;96865;33422;Internal EEPROM (COPILOTpc);OK
11/01/2017;96865;33422;External EEPROM (COPILOTpc);OK
11/01/2017;20107;33424;Internal EEPROM (COPILOTpc);OK
11/01/2017;20107;33424;External EEPROM (COPILOTpc);OK
11/01/2017;22538;33424;TicketMachine;OK
11/01/2017;80680;33424;Internal EEPROM (COPILOTpc);OK
11/01/2017;80680;33424;External EEPROM (COPILOTpc);OK
11/01/2017;96338;33424;Internal EEPROM (COPILOTpc);OK
11/01/2017;96338;33424;External EEPROM (COPILOTpc);OK
11/01/2017;12022;33426;TicketMachine;OK
11/01/2017;23701;33426;External EEPROM (COPILOTpc);OK
11/01/2017;23702;33426;Internal EEPROM (COPILOTpc);OK
11/01/2017;28113;33426;Internal EEPROM (COPILOTpc);OK
11/01/2017;28113;33426;External EEPROM (COPILOTpc);OK
11/01/2017;29441;33426;TicketMachine;OK
11/01/2017;33456;33426;External EEPROM (COPILOTpc);OK
11/01/2017;33457;33426;Internal EEPROM (COPILOTpc);OK
11/01/2017;33500;33426;TicketMachine;OK
11/01/2017;34116;33426;tsp-emitter;OK
11/01/2017;50175;33426;External EEPROM (COPILOTpc);OK
11/01/2017;50176;33426;Internal EEPROM (COPILOTpc);OK
11/01/2017;50342;33426;TicketMachine;OK
11/01/2017;57267;33426;External EEPROM (COPILOTpc);OK
11/01/2017;57268;33426;Internal EEPROM (COPILOTpc);OK
11/01/2017;57311;33426;TicketMachine;OK
11/01/2017;57421;33426;tsp-emitter;OK
11/01/2017;58435;33426;Internal EEPROM (COPILOTpc);OK
11/01/2017;58435;33426;External EEPROM (COPILOTpc);OK
11/01/2017;58479;33426;TicketMachine;OK
11/01/2017;71406;33426;tsp-emitter;OK
11/01/2017;74652;33426;External EEPROM (COPILOTpc);OK
11/01/2017;74653;33426;Internal EEPROM (COPILOTpc);OK
11/01/2017;74697;33426;TicketMachine;OK
11/01/2017;95711;33426;Internal EEPROM (COPILOTpc);OK
11/01/2017;95711;33426;External EEPROM (COPILOTpc);OK
11/01/2017;10903;33428;External EEPROM (COPILOTpc);OK
11/01/2017;10904;33428;Internal EEPROM (COPILOTpc);OK
11/01/2017;26551;33428;Internal EEPROM (COPILOTpc);OK
11/01/2017;26551;33428;External EEPROM (COPILOTpc);OK
11/01/2017;33002;33428;Internal EEPROM (COPILOTpc);OK
11/01/2017;33002;33428;External EEPROM (COPILOTpc);OK
11/01/2017;37731;33428;Internal EEPROM (COPILOTpc);OK
11/01/2017;37731;33428;External EEPROM (COPILOTpc);OK
11/01/2017;43026;33428;Internal EEPROM (COPILOTpc);OK
11/01/2017;43026;33428;External EEPROM (COPILOTpc);OK
11/01/2017;54005;33428;Internal EEPROM (COPILOTpc);OK
11/01/2017;54005;33428;External EEPROM (COPILOTpc);OK
11/01/2017;57586;33428;TicketMachine;OK
11/01/2017;21761;33430;Internal EEPROM (COPILOTpc);OK
11/01/2017;21761;33430;External EEPROM (COPILOTpc);OK
11/01/2017;25741;33430;TicketMachine;OK
11/01/2017;39523;33430;Internal EEPROM (COPILOTpc);OK
