opd_date;measure_id;act_time;act_time_hhmmss;nta_reason_code
13/01/2017;484981385211048153;46659;12:57:39;TR01
13/01/2017;484981385211287130;48498;13:28:18;TR01
13/01/2017;484981385211286951;47350;13:09:10;TR01
13/01/2017;484981385211967894;63720;17:42:00;TR01
13/01/2017;484981385212144100;68132;18:55:32;TR05
13/01/2017;484981385211662592;58849;16:20:49;TR05
13/01/2017;484981385211661746;57617;16:00:17;TR05
13/01/2017;484981385211662223;58211;16:10:11;TR05
13/01/2017;484981385211968809;65419;18:10:19;TR05
13/01/2017;484981385210537108;27919;07:45:19;TR05
13/01/2017;484981385210873928;37659;10:27:39;TR05
13/01/2017;484981385210623222;30002;08:20:02;TR05
13/01/2017;484981385210266228;18534;05:08:54;TR05
13/01/2017;484981385210686049;31337;08:42:17;TR05
13/01/2017;484981385211736902;59542;16:32:22;TR05
13/01/2017;484981385210347578;22283;06:11:23;TR05
13/01/2017;484981385210817030;33786;09:23:06;TR05
13/01/2017;484981385212050268;66597;18:29:57;TR05
13/01/2017;484981385210686164;31548;08:45:48;TR05
13/01/2017;484981385210266313;18698;05:11:38;TR05
13/01/2017;484981385210622773;28958;08:02:38;TR05
13/01/2017;484981385210422152;25751;07:09:11;TR05
13/01/2017;484981385211560675;56386;15:39:46;TR05
13/01/2017;484981385210422391;25932;07:12:12;TR05
13/01/2017;484981385211968612;64919;18:01:59;TR05
13/01/2017;484981385212420737;78320;21:45:20;TR05
13/01/2017;484981385210772258;33097;09:11:37;TR05
13/01/2017;484981385210622583;28735;07:58:55;TR05
13/01/2017;484981385211286919;47252;13:07:32;TR05
13/01/2017;484981385211968216;64363;17:52:43;TR05
13/01/2017;484981385212144423;71054;19:44:14;TR05
13/01/2017;484981385210347208;21240;05:54:00;TR05
13/01/2017;484981385210686568;32316;08:58:36;TR05
13/01/2017;484981385212050206;66432;18:27:12;TR05
13/01/2017;484981385211810041;61608;17:06:48;TR05
13/01/2017;484981385210622801;28981;08:03:01;TR05
13/01/2017;484981385210266493;19518;05:25:18;TR05
13/01/2017;484981385210422338;25891;07:11:31;TR05
13/01/2017;484981385211662563;58843;16:20:43;TR05
13/01/2017;484981385210347298;21810;06:03:30;TR05
13/01/2017;484981385210622721;28933;08:02:13;TR05
13/01/2017;484981385210266403;19030;05:17:10;TR05
13/01/2017;484981385210537049;27801;07:43:21;TR05
13/01/2017;484981385212050455;66874;18:34:34;TR05
13/01/2017;484981385210266174;18431;05:07:11;TR05
13/01/2017;484981385210347072;20968;05:49:28;TR05
13/01/2017;484981385211561197;57319;15:55:19;TR05
13/01/2017;484981385210816979;33768;09:22:48;TR05
13/01/2017;484981385210347396;22070;06:07:50;TR05
13/01/2017;484981385210817081;33793;09:23:13;TR05
