point_id;point_code;short_name;long_name;stop_id;point_role;gps_longitude;gps_latitude;valid_from;valid_until
1013562;SHLL:2-2;SHLL:2-2;SHLL:2-2;;DT;-6.2515;53.355833;01/01/1970;01/01/2036
1013645;SHLL:2-1;SHLL:2-1;SHLL:2-1;;DT;-6.254683;53.355566;01/01/1970;01/01/2036
1064602;SKSTN:2-1;SKSTN:2-1;SKSTN:2-1;;DT;-6.118932;53.574325;01/01/1970;01/01/2036
1064603;CTARF:2-2;CTARF:2-2;CTARF:2-2;;DT;-6.1904;53.358014;01/01/1970;01/01/2036
1064604;REND:2-3;REND:2-3;REND:2-3;;DT;-6.233497;53.341891;01/01/1970;01/01/2036
1064600;REND:2-1;REND:2-1;REND:2-1;;DT;-6.233627;53.342312;01/01/1970;01/01/2036
1064601;PHIB:2-1;PHIB:2-1;PHIB:2-1;;DT;-6.274648;53.353121;01/01/1970;01/01/2036
1064610;REND:2-2;REND:2-2;REND:2-2;;DT;-6.234305;53.341977;01/01/1970;01/01/2036
1064608;HARS:2-1;HARS:2-1;HARS:2-1;;DT;-6.276968;53.416381;01/01/1970;01/01/2036
1064611;PHIB:2-2;PHIB:2-2;PHIB:2-2;;DT;-6.274281;53.35366;01/01/1970;01/01/2036
1064616;HARS:2-2;HARS:2-2;HARS:2-2;;DT;-6.278473;53.416946;01/01/1970;01/01/2036
1064615;CTARF:2-1;CTARF:2-1;CTARF:2-1;;DT;-6.191264;53.359001;01/01/1970;01/01/2036
1064613;CONY:2-2;CONY:2-2;CONY:2-2;;DT;-6.29679;53.480683;29/04/2010;01/01/2036
1064606;CONY:2-1;CONY:2-1;CONY:2-1;;DT;-6.296989;53.347684;29/04/2010;01/01/2036
1064605;CONY:2-3;CONY:2-3;CONY:2-3;;DT;-6.297557;53.3481;29/04/2010;01/01/2036
1003883;MBROST01;06207;Marlborough Street Abbey Theatre;5230;ST;-6.257532;53.34849;28/07/2010;01/01/2036
1051434;TLGHSB04;02550;Tallaght Road Cheeverstown House;8240;ST;-6.31498;53.294793;28/07/2010;01/01/2036
1086330;NEWLCR01;02176;Naas Road Newlands Cross;6000;ST;-6.387646;53.313859;28/07/2010;01/01/2036
1086332;GRCABP05;07230;Grange Castle Cuisine de France;792;ST;-6.453763;53.322371;28/07/2010;01/01/2036
1013699;BMNTHL08;04597;Beaumont Hospital Main entrance;820;ST;-6.224084;53.390242;28/07/2010;01/01/2036
1005707;MHDEKS01;01212;Malahide Road Kinsealy School;5090;ST;-6.176726;53.420557;28/07/2010;01/01/2036
1013670;MKSMED02;03618;Coast Road Monks Meadow;5510;ST;-6.123055;53.438748;28/07/2010;01/01/2036
1013804;BMNTHL07;00253;Beaumont Hospital Main entrance;820;ST;-6.224379;53.389942;28/07/2010;01/01/2036
1013714;CFRDSX02;03599;Strand Road Portmarnock Village;2090;ST;-6.136458;53.421649;28/07/2010;01/01/2036
1051617;FTRBED01;07280;Ballymore Eustace Barrack Street;10000;ST;-6.610799;53.132761;28/07/2010;01/01/2036
1005695;MHDEDC02;01208;Malahide Road St. Doulough's Church;5110;ST;-6.178657;53.414298;28/07/2010;01/01/2036
1005728;BVILPK02;01200;Malahide Road Chanel College;1290;ST;-6.20106;53.386975;28/07/2010;01/01/2036
1086386;SPIDPK01;02670;Spiddal Road Spiddal Park;7540;ST;-6.36754;53.340388;28/07/2010;01/01/2036
1013719;STANCH01;03633;Church Street St. Andrew's Church;771;ST;-6.153224;53.448385;28/07/2010;01/01/2036
1086391;KINGHS02;02213;Lucan Road Liffey Valley;4410;ST;-6.39203;53.355711;28/07/2010;01/01/2036
1013455;STRDRD02;00943;Strand Road Portmarnock Bridge;7950;ST;-6.142127;53.418292;28/07/2010;01/01/2036
1009894;FELTHA01;06310;Holywell Link Road;10700;ST;-6.211027;53.443563;28/07/2010;01/01/2036
1030284;HWTHMP01;00574;Thormanby Road Asgard Park;3810;ST;-6.064253;53.384614;28/07/2010;01/01/2036
1013705;COTTBR01;00948;Coast Road Moyne Bridge;2210;ST;-6.134263;53.40614;28/07/2010;01/01/2036
1004525;HEUSST01;04319;Heuston Station Victoria Quay;10180;ST;-6.292013;53.346763;28/07/2010;01/01/2036
1013607;BDYLAP02;00938;Coast Road Old Race Course;290;ST;-6.130356;53.40154;28/07/2010;01/01/2036
1001408;MARINO02;01490;Griffith Avenue Ard Scoil Ris;5260;ST;-6.228549;53.368867;28/07/2010;01/01/2036
1051571;PBRKLR01;00487;Pembroke Road American Embassy;6550;ST;-6.233865;53.3308;28/07/2010;01/01/2036
1013575;MYNEBG02;00941;Coast Road Moyne Bridge;5640;ST;-6.136887;53.410078;28/07/2010;01/01/2036
1051515;BLYGAA02;07283;Ballymore Road 15 metres from PLP;9970;ST;-6.587544;53.1287;28/07/2010;01/01/2036
1051516;WILLPO01;00471;Rock Road Blackrock College;8810;ST;-6.191045;53.306869;28/07/2010;01/01/2036
1086414;CLIFRD02;02657;Clifden Road Le Fanu Park;10140;ST;-6.361747;53.341313;28/07/2010;01/01/2036
1030262;LMKLGR01;01108;Limekiln Road St. Peter's School;9110;ST;-6.328973;53.304569;28/07/2010;01/01/2036
1045896;CMLNVL02;02319;St. Agnes Road Garda Station;2330;ST;-6.315105;53.319505;28/07/2010;01/01/2036
1086346;BWNOGE04;02145;Deansrath St. Ronan's Church;790;ST;-6.424586;53.323119;28/07/2010;01/01/2036
1051453;SBCLRP02;06085;Link Road Deansgrange Road;6072;ST;-6.165848;53.286407;28/07/2010;01/01/2036
1005714;BMNTHL06;00254;Beaumont Hospital Main entrance;820;ST;-6.224098;53.390264;28/07/2010;01/01/2036
1051410;COLYLA02;07288;Crowleys Lane at Picnic area opp PLP98778;9950;ST;-6.576264;53.129419;28/07/2010;01/01/2036
1051414;BELRDJ01;02364;Belgard Road Belgard Retail Park;9390;ST;-6.36929;53.293635;28/07/2010;01/01/2036
1009885;STILNL01;00769;Stillorgan Road Belfield Court;7870;ST;-6.221317;53.311894;28/07/2010;01/01/2036
1003875;SWRDSS02;01625;Swords Road Morton Stadium;8150;ST;-6.24328;53.40109;28/07/2010;01/01/2036
1030274;LMKLGR02;01103;Limekiln Road Tymon Park;9110;ST;-6.329314;53.304524;28/07/2010;01/01/2036
1013769;GRANGE02;00730;Grange Road Hole in the Wall Road;3430;ST;-6.1618;53.398162;28/07/2010;01/01/2036
1086321;STJMHP04;01942;James Street St. James Hospital;7610;ST;-6.294611;53.342252;28/07/2010;01/01/2036
1030251;FELTHA02;06312;Holywell Link Road;10700;ST;-6.21139;53.443462;10/08/2010;01/01/2036
1013471;FRJCRR02;00788;Forest Road Rathingle Cottages;8092;ST;-6.240955;53.445847;28/07/2010;01/01/2036
1030289;CRCHRD01;00584;Howth Road Methodist Church;1690;ST;-6.105185;53.389894;28/07/2010;01/01/2036
1051473;TLGHFB02;02553;Tallaght Road M50 Flyover;8220;ST;-6.333788;53.28968;28/07/2010;01/01/2036
