depot;vehicle_id;vehicle_short_name;opd_date
CF;1000110;33416;15/01/2017
HN;1000111;33418;15/01/2017
SL;1000113;33420;15/01/2017
SL;1000115;33422;15/01/2017
SL;1000116;33424;15/01/2017
SL;1000117;33426;15/01/2017
SL;1000118;33428;15/01/2017
PO;1000120;33430;15/01/2017
PO;1000122;33432;15/01/2017
PO;1000124;33434;15/01/2017
PO;1000126;33436;15/01/2017
PO;1000128;33438;15/01/2017
PO;1000130;33440;15/01/2017
PO;1000132;33442;15/01/2017
PO;1000134;33444;15/01/2017
PO;1000135;33446;15/01/2017
HN;1000136;33448;15/01/2017
PO;1000138;33450;15/01/2017
HN;1000140;33452;15/01/2017
HN;1000142;33454;15/01/2017
HN;1000144;33456;15/01/2017
HN;1000146;33458;15/01/2017
RD;1000148;33460;15/01/2017
SL;1000150;33462;15/01/2017
D1;1000152;33464;15/01/2017
D1;1000154;33466;15/01/2017
D1;1000156;33468;15/01/2017
RD;1000158;33470;15/01/2017
RD;1000160;33472;15/01/2017
RD;1000162;33474;15/01/2017
RD;1000164;33476;15/01/2017
RD;1000166;33478;15/01/2017
RD;1000168;33480;15/01/2017
PO;1000170;40002;15/01/2017
RD;1000171;33482;15/01/2017
PO;1000173;40004;15/01/2017
RD;1000174;33484;15/01/2017
PO;1000176;40006;15/01/2017
RD;1000177;33486;15/01/2017
PO;1000180;40008;15/01/2017
RD;1000181;33488;15/01/2017
PO;1000183;40010;15/01/2017
RD;1000184;33490;15/01/2017
HN;1000186;40012;15/01/2017
RD;1000187;33492;15/01/2017
HN;1000189;40014;15/01/2017
RD;1000190;33494;15/01/2017
PO;1000193;33496;15/01/2017
HN;1000195;40018;15/01/2017
HN;1000198;40020;15/01/2017
HN;1000201;40022;15/01/2017
HN;1000202;33502;15/01/2017
HN;1000204;40024;15/01/2017
HN;1000205;33504;15/01/2017
HN;1000208;33506;15/01/2017
HN;1000211;33508;15/01/2017
SL;1000213;40030;15/01/2017
HN;1000340;38072;15/01/2017
HN;1000343;38074;15/01/2017
CF;1000345;38076;15/01/2017
CF;1000348;38078;15/01/2017
CF;1000351;38080;15/01/2017
CF;1000354;38082;15/01/2017
CF;1000357;38084;15/01/2017
CF;1000360;38086;15/01/2017
CF;1000363;38088;15/01/2017
D1;1000366;38090;15/01/2017
D1;1000369;38092;15/01/2017
D1;1000372;38094;15/01/2017
D1;1000375;38096;15/01/2017
D1;1000377;38098;15/01/2017
D1;1000379;38100;15/01/2017
PO;1000381;24246;15/01/2017
PO;1000382;33212;15/01/2017
PO;1000389;33224;15/01/2017
HN;1000415;33274;15/01/2017
HN;1000417;33278;15/01/2017
HN;1000418;33280;15/01/2017
CF;1000420;33284;15/01/2017
CF;1000421;33286;15/01/2017
CD;1000422;33288;15/01/2017
CD;1000424;33292;15/01/2017
CD;1000425;33294;15/01/2017
CD;1000426;33296;15/01/2017
SL;1000428;33300;15/01/2017
SL;1000429;33302;15/01/2017
PO;1000431;33306;15/01/2017
PO;1000432;33308;15/01/2017
PO;1000433;33310;15/01/2017
PO;1000435;33314;15/01/2017
CF;1000436;33316;15/01/2017
RD;1000438;33320;15/01/2017
HN;1000440;33322;15/01/2017
HN;1000442;33324;15/01/2017
HN;1000443;33326;15/01/2017
D1;1000446;33330;15/01/2017
D1;1000447;33332;15/01/2017
SL;1000449;33336;15/01/2017
SL;1000451;33338;15/01/2017
SL;1000453;33340;15/01/2017
HN;1000454;33342;15/01/2017
CF;1000457;33346;15/01/2017
D1;1000458;33348;15/01/2017
CD;1000460;33352;15/01/2017
CD;1000461;33354;15/01/2017
CD;1000464;33358;15/01/2017
CD;1000465;33360;15/01/2017
PO;1000467;33364;15/01/2017
PO;1000468;33366;15/01/2017
PO;1000469;33368;15/01/2017
PO;1000471;33372;15/01/2017
HN;1000472;35002;15/01/2017
HN;1000474;35004;15/01/2017
PO;1000476;33376;15/01/2017
HN;1000478;33378;15/01/2017
HN;1000479;35008;15/01/2017
HN;1000481;35010;15/01/2017
PO;1000482;33382;15/01/2017
RD;1000483;33384;15/01/2017
D1;1000485;33388;15/01/2017
D1;1000489;33392;15/01/2017
D1;1000490;33394;15/01/2017
D1;1000492;33398;15/01/2017
CD;1000494;33400;15/01/2017
CD;1000496;33404;15/01/2017
CD;1000497;33406;15/01/2017
CD;1000499;33410;15/01/2017
CD;1000501;33412;15/01/2017
RD;1000503;33414;15/01/2017
D2;1000556;36001;15/01/2017
D2;1000558;36003;15/01/2017
D2;1000560;36005;15/01/2017
D2;1000562;36007;15/01/2017
D2;1000564;36009;15/01/2017
D2;1000566;36011;15/01/2017
D2;1000568;36013;15/01/2017
D2;1000570;36015;15/01/2017
D2;1000572;36017;15/01/2017
D2;1000574;36019;15/01/2017
D2;1000576;36021;15/01/2017
D2;1000578;36023;15/01/2017
D2;1000580;36025;15/01/2017
D2;1000582;36027;15/01/2017
D2;1000584;36029;15/01/2017
D2;1000586;36031;15/01/2017
D2;1000588;36033;15/01/2017
D2;1000590;36035;15/01/2017
PO;1000592;36037;15/01/2017
PO;1000596;36041;15/01/2017
PO;1000599;36045;15/01/2017
PO;1000603;36049;15/01/2017
PO;1000607;36053;15/01/2017
PO;1000609;36055;15/01/2017
PO;1000611;36057;15/01/2017
PO;1000613;36061;15/01/2017
PO;1000614;36063;15/01/2017
PO;1000615;36065;15/01/2017
PO;1000617;36069;15/01/2017
D2;1000639;28051;15/01/2017
PO;1000651;33023;15/01/2017
PO;1000665;33051;15/01/2017
PO;1000666;33053;15/01/2017
PO;1000672;33065;15/01/2017
PO;1000686;33093;15/01/2017
RD;1000694;38001;15/01/2017
SL;1000216;40032;15/01/2017
SL;1000218;40034;15/01/2017
PO;1000219;33514;15/01/2017
SL;1000220;40036;15/01/2017
SL;1000222;40038;15/01/2017
RD;1000223;33518;15/01/2017
SL;1000224;40040;15/01/2017
SL;1000226;40042;15/01/2017
D1;1000227;33522;15/01/2017
SL;1000229;40044;15/01/2017
D1;1000230;33524;15/01/2017
D1;1000233;33526;15/01/2017
D1;1000236;33528;15/01/2017
SL;1000238;40050;15/01/2017
CD;1000241;33532;15/01/2017
D1;1000243;33534;15/01/2017
HN;1000245;33536;15/01/2017
D1;1000247;33538;15/01/2017
D1;1000249;33540;15/01/2017
D1;1000251;33542;15/01/2017
HN;1000255;33546;15/01/2017
HN;1000259;33550;15/01/2017
HN;1000261;33552;15/01/2017
D1;1000263;33554;15/01/2017
HN;1000265;33556;15/01/2017
D2;1000266;36002;15/01/2017
D2;1000269;36004;15/01/2017
D2;1000272;36006;15/01/2017
PO;1000274;33562;15/01/2017
PO;1000277;33564;15/01/2017
PO;1000280;33566;15/01/2017
D2;1000281;36012;15/01/2017
PO;1000283;33568;15/01/2017
D2;1000284;36014;15/01/2017
PO;1000286;33570;15/01/2017
D2;1000287;36016;15/01/2017
D2;1000290;36018;15/01/2017
D2;1000293;36020;15/01/2017
PO;1000295;33576;15/01/2017
PO;1000298;33578;15/01/2017
D2;1000299;36024;15/01/2017
PO;1000301;33580;15/01/2017
D2;1000302;36026;15/01/2017
PO;1000304;33582;15/01/2017
D2;1000305;36028;15/01/2017
SL;1000307;38042;15/01/2017
HN;1000309;38044;15/01/2017
SL;1000311;38046;15/01/2017
SL;1000313;38048;15/01/2017
PO;1000315;38050;15/01/2017
CD;1000318;38052;15/01/2017
PO;1000319;33162;15/01/2017
CD;1000321;38054;15/01/2017
CD;1000323;38056;15/01/2017
CD;1000325;38058;15/01/2017
CD;1000327;38060;15/01/2017
PO;1000328;33170;15/01/2017
RD;1000329;38062;15/01/2017
PO;1000330;33172;15/01/2017
CD;1000331;38064;15/01/2017
HN;1000333;38066;15/01/2017
PO;1000334;33176;15/01/2017
HN;1000335;38068;15/01/2017
HN;1000337;38070;15/01/2017
PO;1000823;33267;15/01/2017
HN;1000827;33275;15/01/2017
HN;1000828;33277;15/01/2017
HN;1000830;33281;15/01/2017
HN;1000831;33283;15/01/2017
CF;1000832;33285;15/01/2017
CD;1000834;33289;15/01/2017
CD;1000835;33291;15/01/2017
CD;1000836;33293;15/01/2017
CD;1000838;33297;15/01/2017
SL;1000839;33299;15/01/2017
SL;1000841;33303;15/01/2017
PO;1000842;33305;15/01/2017
PO;1000843;33307;15/01/2017
PO;1000845;33311;15/01/2017
PO;1000846;33313;15/01/2017
RD;1000848;33317;15/01/2017
RD;1000849;33319;15/01/2017
HN;1000850;33321;15/01/2017
HN;1000852;33325;15/01/2017
D1;1000853;33327;15/01/2017
D1;1000854;33329;15/01/2017
D1;1000856;33331;15/01/2017
SL;1000857;33333;15/01/2017
SL;1000860;33337;15/01/2017
SL;1000861;33339;15/01/2017
HN;1000863;33343;15/01/2017
D1;1000864;33345;15/01/2017
D1;1000866;33349;15/01/2017
CD;1000867;33351;15/01/2017
CD;1000868;33353;15/01/2017
CD;1000870;33357;15/01/2017
CD;1000871;33359;15/01/2017
CD;1000872;33361;15/01/2017
PO;1000874;33365;15/01/2017
PO;1000875;33367;15/01/2017
