block_id;block_code;short_name;long_name;daytype_id;valid_from;valid_until
1885212;016002:34;16002;16002;34;01/01/1970;01/01/2036
1712305;145112A:34;145112;145112;34;01/01/1970;01/01/2036
1988422;821373A:34;821373;821373;34;01/01/1970;01/01/2036
1988424;821381A:34;821381;821381;34;01/01/1970;01/01/2036
2380145;821382B:34;821382;821382;34;01/01/1970;01/01/2036
2380146;821388A:34;821388;821388;34;01/01/1970;01/01/2036
2408032;145016:34;145016;145016;34;01/01/1970;01/01/2036
2408051;145114A:34;145114;145114;34;01/01/1970;01/01/2036
2481766;821399B:34;821399;821399;34;01/01/1970;01/01/2036
2042467;150005:34;150005;150005;34;01/01/1970;01/01/2036
1871798;151001:34;151001;151001;34;01/01/1970;01/01/2036
2591525;151003:34;151003;151003;34;01/01/1970;01/01/2036
1909307;084006:34;84006;84006;34;01/01/1970;01/01/2036
1711948;033011A:34;33011;33011;34;01/01/1970;01/01/2036
1711204;037005A:34;37005;37005;34;01/01/1970;01/01/2036
1711220;037006:34;37006;37006;34;01/01/1970;01/01/2036
1712539;037007A:34;37007;37007;34;01/01/1970;01/01/2036
1712551;037004:34;37004;37004;34;01/01/1970;01/01/2036
1710927;038002A:34;38002;38002;34;01/01/1970;01/01/2036
1711600;018010A:34;18010;18010;34;01/01/1970;01/01/2036
1712464;018009A:34;18009;18009;34;01/01/1970;01/01/2036
1711982;025012A:34;25012;25012;34;01/01/1970;01/01/2036
1712002;025007A:34;25007;25007;34;01/01/1970;01/01/2036
1712248;817002A:34;817002;817002;34;01/01/1970;01/01/2036
1712393;817026A:34;817026;817026;34;01/01/1970;01/01/2036
1712423;025009A:34;25009;25009;34;01/01/1970;01/01/2036
1712542;834032:34;834032;834032;34;01/01/1970;01/01/2036
2749611;827012A:34;827012;827012;34;01/01/1970;01/01/2036
1710987;817009A:34;817009;817009;34;01/01/1970;01/01/2036
1712144;824006A:34;824006;824006;34;01/01/1970;01/01/2036
1711849;065007A:34;65007;65007;34;01/01/1970;01/01/2036
1710935;015017:34;15017;15017;34;01/01/1970;01/01/2036
1711213;015101:34;15101;15101;34;01/01/1970;01/01/2036
1710791;009010:34;9010;9010;34;01/01/1970;01/01/2036
1711571;009013A:34;9013;9013;34;01/01/1970;01/01/2036
1710928;040107:34;40107;40107;34;01/01/1970;01/01/2036
1711061;040008:34;40008;40008;34;01/01/1970;01/01/2036
1711072;040102A:34;40102;40102;34;01/01/1970;01/01/2036
1711490;040104A:34;40104;40104;34;01/01/1970;01/01/2036
1711688;040105A:34;40105;40105;34;01/01/1970;01/01/2036
1711762;040101A:34;40101;40101;34;01/01/1970;01/01/2036
1711954;040211A:34;40211;40211;34;01/01/1970;01/01/2036
1710751;812031A:34;812031;812031;34;01/01/1970;01/01/2036
1710971;835002:34;835002;835002;34;01/01/1970;01/01/2036
1711160;041014:34;41014;41014;34;01/01/1970;01/01/2036
1711460;812089B:34;812089;812089;34;01/01/1970;01/01/2036
1711481;812091A:34;812091;812091;34;01/01/1970;01/01/2036
1711580;041012:34;41012;41012;34;01/01/1970;01/01/2036
